title,ingr_full,quant,units,ingr,category,subcategory
baked-french-toast-by-marzetti,"3 granny smith apples, peeled, cored, and diced into 1/2-inch thick pieces",1.5,inch,apples,fruit,
baked-french-toast-by-marzetti,1/2 teaspoon ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
baked-french-toast-by-marzetti,2 tablespoons water,2.0,tablespoons,water,other,
baked-french-toast-by-marzetti,3 large eggs,3.0,large,eggs,eggs,
baked-french-toast-by-marzetti,1/2 cup milk,0.5,cups,milk,milkcream,
baked-french-toast-by-marzetti,1 teaspoon pure vanilla extract,1.0,teaspoons,vanilla,flavor,spice
baked-french-toast-by-marzetti,1 medium loaf italian bread (4 inches in diameter) sliced into 1-inch thick pieces,1.0,inch,italian bread,bread,
baked-french-toast-by-marzetti,2 tablespoons unsalted butter,2.0,tablespoons,butter,fat,
baked-french-toast-by-marzetti,1/2 cup chopped pecans,0.5,cups,pecans,nut,
vanilla-french-toast,2 eggs,2.0,,eggs,eggs,
