title,ingr_full,quant,units,cut,ingr,category,subcategory
crunchy-stuffed-french-toast,"2 cups archer farms\u2122 muesli cereal, crushed",2,cups,,muesli cereal,cereal,
crunchy-stuffed-french-toast,1/2 cup archer farms\u2122 oregon strawberry preserves,0.5,cups,,strawberries,fruit,
crunchy-stuffed-french-toast,8 slices archer farms\u2122 100% whole wheat bread,8,slices,,whole bread,bread,
crunchy-stuffed-french-toast,cooking spray,,,,cooking spray,fat,
cutters-french-toast,2 tablespoons ground cinnamon,2,tablespoons,,cinnamon,flavor,spice
cutters-french-toast,1/4 cup egg substitute,0.25,cups,,egg substitute,eggs,
cutters-french-toast,1 cup 1% fat milk,1,cups,,low fat milk,milkcream,
cutters-french-toast,"1/4 cup splenda\xae no calorie sweetener, granulated",0.25,cups,,sugar,sugar,
cutters-french-toast,"10 slices whole wheat bread, sugar free maple syrup (optional)",10,slices,,whole bread,bread,
cutters-french-toast,preheated skillett,,,,cooking spray,fat,
deep-fried-french-toast,6 eggs,6,,,eggs,eggs,
deep-fried-french-toast,1 cup all-purpose flour,1,cups,,flour,other,
deep-fried-french-toast,8 thick slices (1-inch thick) french bread,8,slices,"1"" slices",french bread,bread,
deep-fried-french-toast,2 cups milk,2,cups,,milk,milkcream,
deep-fried-french-toast,2 quarts vegetable oil for frying,2,quarts,,oil,fat,
deep-fried-french-toast,1/4 teaspoon salt,0.25,teaspoons,,salt,flavor,spice
deep-fried-french-toast,5 1/2 teaspoons white sugar,2.5,teaspoons,,sugar,sugar,
easy-french-toast,2 slices bread,2,slices,,bread,bread,
easy-french-toast,1 tablespoon ground cinnamon,1,tablespoons,,cinnamon,flavor,spice
easy-french-toast,1 egg,1,,,eggs,eggs,
easy-french-toast,3/4 cup milk,0.75,cups,,milk,milkcream,
easy-french-toast,1 pinch salt,1,pinches,,salt,flavor,spice
easy-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
easy-french-toast,lightly oiled,,,,cooking spray,fat,
easy-french-toast-waffles,4 pieces 1/2-inch thick pieces brioche,4,slices,"0.5"" slices",brioche,bread,
easy-french-toast-waffles,cooking spray,,,,cooking spray,fat,
easy-french-toast-waffles,2 large eggs,2,,,eggs,eggs,
easy-french-toast-waffles,1 tablespoon maple syrup,1,tablespoons,,maple syrup,syrup,
easy-french-toast-waffles,1 pinch salt,1,pinches,,salt,flavor,spice
easy-french-toast-waffles,1/2 teaspoon vanilla extract,0.5,teaspoons,,vanilla,flavor,spice
easy-french-toast-waffles,1/2 cup whole milk,0.5,cups,,whole milk,milkcream,
easy-pina-colada-french-toast,"2 bananas, sliced",2,,,bananas,fruit,
